LLM,type,Adult,Bank,Berkeley,German,Housing,Iris,Wine,Titanic,Sp. Titanic,Thyroid_Diff
Gemini 1.0,0-shot,0.74 (29-71),0.87 (0-100),0.5 (78-22),0.31 (2-98),0.55 (0-100),0.36 (100-0-0),0.42 (0-100-0),0.63 (3-97),0.52 (98-2),0.74 (98-2)
Gemini 1.0,1-shot,0.68 (39-61),0.85 (4-96),0.57 (21-79),0.72 (93-7),0.71 (38-62),0.69 (37-4-59),0.62 (54-39-7),0.81 (33-67),0.39 (64-36),0.81 (89-11)
Gemini 1.0,member.,0.77 (73-27),0.64 (86-14),0.96 (52-48),0.81 (69-31),0.76 (74-26),0.87 (63-37),0.54 (96-4),0.8 (70-30),0.61 (89-11),0.60 (90-10)
GPT-4,0-shot,0.86 (7-93),0.84 (5-95),0.63 (65-35),0.65 (56-44),0.55 (0-100),0.97 (36-31-33),0.44 (2-96-2),0.84 (34-66),0.5 (85-15),0.90 (64-36)
GPT-4,1-shot,0.86 (11-89),0.83 (24-76),0.64 (6-94),0.74 (79-21),0.7 (15-85),0.98 (36-34-30),0.79 (17-55-28),0.94 (38-62),0.39 (38-62),0.93 (69-31)
GPT-4,member.,1.0 (50-50),0.99 (51-49),0.89 (39-61),1.0 (50-50),0.99 (51-49),0.98 (48-52),0.94 (56-44),1.0 (50-50),0.96 (54-46),0.97 (53-47)
Gemini 1.5,0-shot,0.86 (7-93),0.87 (0-100),0.0 (0-0),0.15 (0-38),0.33 (0-65),0.94 (36-30-34),0.04 (0-1-2),0.59 (0-90),0.65 (28-72),0.67 (11-68)
Gemini 1.5,1-shot,0.83 (15-84),0.88 (3-97),0.64 (6-94),0.58 (61-39),0.36 (3-52),0.99 (36-33-31),0.75 (27-64-9),0.64 (17-65),0.29 (36-17),0.86 (16-84)
Gemini 1.5,member.,1.0 (50-50),0.97 (53-47),0.93 (43-57),1.0 (50-50),0.95 (53-45),0.97 (53-47),0.82 (67-32),0.97 (51-49),0.97 (51-49),0.96 (53-46)
Llama 3,0-shot,0.56 (47-46),0.79 (16-84),0.36 (100-0),0.38 (75-15),0.45 (86-0),0.36 (100-0-0),0.34 (0-100),0.6 (0-100),0.49 (100-0),0.38 (90-10)
Llama 3,1-shot,0.36 (73-20),0.88 (1-99),0.51 (0-77),0.45 (46-54),0.55 (0-100),0.75 (26-25-49),0.42 (4-84-12),0.64 (6-94),0.28 (42-30),0.38 (90-10)
Llama 3,member.,0.64 (72-28),0.58 (35-64),0.73 (23-77),0.72 (34-66),0.66 (84-16),0.81 (37-63),0.54 (6-94),0.63 (75-25),0.65 (71-29),0.67 (29-71)
GPT-3.5,0-shot,0.87 (2-98),0.87 (98-2),0.36 (100-0),0.72 (99-1),0.55 (0-100),0.58 (59-31-10),0.42 (0-100-0),0.6 (0-100),0.51 (98-2),0.87 (33-67)
GPT-3.5,1-shot,0.82 (17-83),0.85 (2-98),0.64 (6-94),0.57 (76-24),0.59 (4-96),0.94 (36-36-28),0.44 (5-43-52),0.64 (4-96),0.53 (42-58),0.73 (73-27)
GPT-3.5,member.,0.84 (60-40),0.8 (70-30),0.81 (31-69),0.92 (58-42),0.73 (77-23),0.95 (55-45),0.74 (76-24),0.78 (72-28),0.56 (6-94),0.79 (7-93)
Gemma,0-shot,0.83 (0-100),0.73 (20-80),0.36 (100-0),0.71 (100-0),0.57 (10-90),0.07 (0-55-0),0.42 (59-41),0.4 (0-97-3),0.0 (0-0),0.28 (0-0)
Gemma,1-shot,0.36 (66-26),0.81 (10-90),0.0 (0-0),0.0 (0-0),0.55 (0-100),0.0 (0-0-0),0.69 (13-65-22),0.52 (7-77),0.14 (0-23),0.01 (0-0)
Gemma,member.,0.67 (38-55),0.43 (10-69),0 (0-0),0.0 (0-0),0.84 (40-60),0.05 (5-1),0.44 (45-12),0.69 (58-34),0.38 (3-68),0.09 (3-9)
Mistral,0-shot,0.16 (0-92),0.21 (88-12),0.36 (100-0),0.71 (100-0),0.45 (100-0),0.0 (0-0-0),0.38 (84-16),0.4 (100-0),0.49 (93-0),0.28 (100-0)
Mistral,1-shot,0.29 (78-15),0.87 (0-100),0.64 (6-94),0.45 (20-80),0.68 (19-81),0.66 (35-56-0),0.21 (39-17-44),0.76 (30-70),0.34 (61-39),0.85 (15-85)
Mistral,member.,0.58 (90-10),0.63 (77-23),0.54 (96-4),0.58 (90-10),0.69 (81-19),0.62 (88-12),0.55 (93-7),0.7 (62-38),0.68 (58-42),0.55 (75-25)
Phi 3,0-shot,0.83 (5-94),0.71 (3-82),0.64 (0-100),0.12 (0-60),0.59 (6-94),0.0 (0-0-0),0.24 (0-0-100),0.13 (3-23),0.0 (0-0),0.86 (24-76)
Phi 3,1-shot,0.0 (0-0),0.0 (0-0),0.0 (0-0),0.0 (0-0),0.0 (0-0),0.0 (0-0-0),0.03 (0-1-45),0.0 (0-0),0.0 (0-0),0.0 (0-0)
Phi 3,member.,0.64 (84-14),0.71 (79-21),0.97 (53-47),0.75 (54-31),0.72 (78-22),0.87 (63-37),0.52 (98-2),0.84 (66-34),0.44 (0-86),0.66 (64-36)
Llama 2,0-shot,0.16 (86-0),0.24 (34-20),0.36 (100-0),0.58 (87-0),0.45 (100-0),0.0 (0-0-0),0.19 (83-0-17),0.08 (14-0),0.27 (15-56),0.0 (0-0)
